   ;PAY;CNT;PAY_DATE
281;1325165,3;1417;07.10.2012
282;17640946,83;20012;08.10.2012
283;17766637,98;19871;09.10.2012
284;15942785,26;17765;10.10.2012
285;16132174,71;17993;11.10.2012
286;15282483,07;17047;12.10.2012
287;14082130,16;15439;13.10.2012
288;1395833,04;1454;14.10.2012
289;16437552,38;20048;15.10.2012
290;20601732,04;29996;16.10.2012
291;25240862,26;46589;17.10.2012
292;28762758,64;66308;18.10.2012
293;31196959,55;72943;19.10.2012
294;32860266,59;67065;20.10.2012
295;3332166,9;6485;21.10.2012
296;36685534,31;74264;22.10.2012
297;35895027,24;69174;23.10.2012
298;33072126,02;63067;24.10.2012
299;31785903,11;59472;25.10.2012
300;29108803,61;50865;26.10.2012
301;23651483,72;40903;27.10.2012
302;2519457,56;4126;28.10.2012
303;30940346,53;55922;29.10.2012
304;31068006,11;52587;30.10.2012
305;29461801,16;45140;31.10.2012
306;23059176,82;28956;01.11.2012
307;19108924,51;22378;02.11.2012
308;15130046,21;17478;03.11.2012
309;558476,01;656;04.11.2012
310;4485669,03;4745;05.11.2012
311;19434556,67;21734;06.11.2012
312;17064759,16;17894;07.11.2012
313;15861961,39;16870;08.11.2012
314;15805798,07;16662;09.11.2012
315;14511134,75;15314;10.11.2012
316;1340599,14;1394;11.11.2012
317;16440620,96;16694;12.11.2012
318;16116284,62;16988;13.11.2012
319;16548676,22;21256;14.11.2012
320;20797141,88;33358;15.11.2012
321;31197812,85;60206;16.11.2012
322;33173616,36;63363;17.11.2012
323;4328440,87;8170;18.11.2012
324;41658150,6;84567;19.11.2012
325;44465629,19;84633;20.11.2012
326;43459134,61;79525;21.11.2012
327;39324545,59;70849;22.11.2012
328;36315425,65;66744;23.11.2012
329;34191571,78;59643;24.11.2012
330;3787567,17;6564;25.11.2012
331;36901274,11;65032;26.11.2012
332;34906816,18;58867;27.11.2012
333;30321975,22;50670;28.11.2012
334;28580839,9;48241;29.11.2012
335;27864055,95;44342;30.11.2012
336;20255344,26;27864;01.12.2012
337;2032302,78;2664;02.12.2012
338;22216327,23;27867;03.12.2012
339;17890451,91;21652;04.12.2012
340;16183312,27;18602;05.12.2012
341;15715391,59;16618;06.12.2012
342;13036504,97;14520;07.12.2012
343;13161387,07;14598;08.12.2012
344;1272868,6;1510;09.12.2012
345;15278889,97;16742;10.12.2012
346;14671544,94;14954;11.12.2012
347;15043650,42;15663;12.12.2012
348;15063618,3;17606;13.12.2012
349;18313016,78;24576;14.12.2012
350;21785619,42;30989;15.12.2012
351;2941573,46;4591;16.12.2012
352;33628310,12;58613;17.12.2012
353;40085379,25;73603;18.12.2012
354;43730048,43;81401;19.12.2012
355;47251103,12;82594;20.12.2012
356;47155298,05;83238;21.12.2012
357;42429114,83;73030;22.12.2012
358;5316597,63;9508;23.12.2012
359;52478832,56;91456;24.12.2012
360;52450862,89;86668;25.12.2012
361;51048611,62;79872;26.12.2012
362;49212244,77;73046;27.12.2012
363;50050424,87;70152;28.12.2012
364;51908192,41;69904;29.12.2012
365;25120821,5;31722;30.12.2012
366;1385504,15;2084;31.12.2012
367;31512,1;78;01.01.2013
368;84778,43;90;02.01.2013
369;87119,39;91;03.01.2013
370;372893,63;606;04.01.2013
371;336333,46;552;05.01.2013
372;179374,57;298;06.01.2013
373;114732,39;162;07.01.2013
374;389030;576;08.01.2013
375;28312026,32;35049;09.01.2013
376;20562120,49;24861;10.01.2013
377;16559906,38;19846;11.01.2013
378;14553376,37;17676;12.01.2013
379;1364428,56;1629;13.01.2013
380;16624871,52;20284;14.01.2013
381;19631654,27;26188;15.01.2013
382;24131487,08;35958;16.01.2013
383;30036513,26;49663;17.01.2013
384;38932904,79;68609;18.01.2013
385;39721449,16;68433;19.01.2013
386;6150857,1;10761;20.01.2013
387;51727906,07;91218;21.01.2013
388;52908151,54;91312;22.01.2013
389;51705804,69;87361;23.01.2013
390;48637695,26;81567;24.01.2013
391;45903451,16;75282;25.01.2013
392;38795029,14;61726;26.01.2013
393;4246008,61;6958;27.01.2013
394;44913063,57;72076;28.01.2013
395;42422827,31;66123;29.01.2013
396;40515471,37;61466;30.01.2013
397;35729502,4;50783;31.01.2013
398;22086761,84;27129;01.02.2013
399;18417294,23;22015;02.02.2013
400;1828502,89;2138;03.02.2013
401;19303810,79;22473;04.02.2013
402;16616614,21;18916;05.02.2013
403;14925269,85;16566;06.02.2013
404;13024119,06;14434;07.02.2013
405;13416238,26;14564;08.02.2013
406;13178507,92;14929;09.02.2013
407;1392311,43;1793;10.02.2013
408;15374836,36;17212;11.02.2013
409;14613129,91;16921;12.02.2013
410;13915735,47;17430;13.02.2013
411;13900844,16;17963;14.02.2013
412;16553218,96;23020;15.02.2013
413;21275287;32248;16.02.2013
414;3605108,84;5807;17.02.2013
415;39365513,05;68211;18.02.2013
416;48483287,63;85446;19.02.2013
417;55294012,39;95417;20.02.2013
418;52161032,12;89660;21.02.2013
419;49908367,32;86956;22.02.2013
420;2562483,06;4183;23.02.2013
421;6409973,94;11285;24.02.2013
422;63925601,69;110004;25.02.2013
423;62526385,3;102375;26.02.2013
424;58534802,38;94598;27.02.2013
425;54171406,58;82826;28.02.2013
426;31273830,84;43815;01.03.2013
427;24845992,68;33634;02.03.2013
428;2456617,76;3212;03.03.2013
429;23066302,63;30019;04.03.2013
430;19289116,3;23878;05.03.2013
431;17545054,39;21164;06.03.2013
432;14140147,75;17960;07.03.2013
433;451163,82;542;08.03.2013
434;5443105,44;6815;09.03.2013
435;1409355,1;1794;10.03.2013
436;15901877,28;18995;11.03.2013
437;16989334,98;18930;12.03.2013
438;14587590,11;17019;13.03.2013
439;13801063,86;16926;14.03.2013
440;16809480,06;24092;15.03.2013
441;19593564,94;30029;16.03.2013
442;2870896,21;4661;17.03.2013
443;30239793,7;53618;18.03.2013
444;41919834,32;77404;19.03.2013
445;48757419,57;91436;20.03.2013
446;49725601,72;92679;21.03.2013
447;47416855,23;90176;22.03.2013
448;43578894,87;80522;23.03.2013
449;5895201,47;11346;24.03.2013
450;52281729,79;97973;25.03.2013
451;48696320,27;87291;26.03.2013
452;43584155,61;76187;27.03.2013
453;38377747,3;66236;28.03.2013
454;37560305,5;64649;29.03.2013
455;32323513,86;54912;30.03.2013
456;4200147,81;6801;31.03.2013
457;26203177,59;37689;01.04.2013
458;20633022,66;27800;02.04.2013
459;18041625,12;22982;03.04.2013
460;14579108,2;18504;04.04.2013
461;13666955,16;16689;05.04.2013
462;11235724,11;14099;06.04.2013
463;1327202,91;1706;07.04.2013
464;14068880,64;16733;08.04.2013
465;13653397,19;16181;09.04.2013
466;13411543,34;15638;10.04.2013
467;12001599,3;14264;11.04.2013
468;11819917,72;14110;12.04.2013
469;10596600,89;13017;13.04.2013
470;1532739,53;2028;14.04.2013
471;16034793,98;22618;15.04.2013
472;23313971,21;39499;16.04.2013
473;34808624,47;69253;17.04.2013
474;41966785,83;86908;18.04.2013
475;42691421,15;87962;19.04.2013
476;40981680,04;80456;20.04.2013
477;5653230,2;11180;21.04.2013
478;47401043,32;94178;22.04.2013
479;46265357,48;87968;23.04.2013
480;44812914,49;84277;24.04.2013
481;43191675,66;78636;25.04.2013
482;39660255,04;72422;26.04.2013
483;32504192,98;58032;27.04.2013
484;4407568,23;8020;28.04.2013
485;46687515,01;83451;29.04.2013
486;43915515,84;71036;30.04.2013
487;1204084,07;1731;01.05.2013
488;1170998,62;1638;02.05.2013
489;939238,68;1365;03.05.2013
490;1272607,96;1745;04.05.2013
491;1609095,88;2273;05.05.2013
492;26405060,18;37414;06.05.2013
493;20308071,76;28591;07.05.2013
494;18495885,71;24670;08.05.2013
495;475707,13;630;09.05.2013
496;4321769,98;5945;10.05.2013
497;4594154,15;6167;11.05.2013
498;1305999,33;1809;12.05.2013
499;17289183,47;22478;13.05.2013
500;16032600,41;20898;14.05.2013
501;17746348,72;24459;15.05.2013
502;20046779,98;32233;16.05.2013
503;21449207,93;38587;17.05.2013
504;22250344,99;41777;18.05.2013
505;3216595,34;6552;19.05.2013
506;34869749,12;70183;20.05.2013
507;38283548,45;75731;21.05.2013
508;38077424,99;75488;22.05.2013
509;35740085,36;71606;23.05.2013
510;39325937,23;80429;24.05.2013
511;29047885,28;58164;25.05.2013
512;4303107,78;8608;26.05.2013
513;42066772,68;84021;27.05.2013
514;41053742,99;78168;28.05.2013
515;38580482,5;71681;29.05.2013
516;36862363,46;68291;30.05.2013
517;34210482,24;60378;31.05.2013
518;16917552;25242;01.06.2013
519;1071614,76;1532;02.06.2013
520;21872580,15;31357;03.06.2013
521;19038228,74;26197;04.06.2013
522;17523835,3;23271;05.06.2013
523;15869822,48;20896;06.06.2013
524;14186134,73;18794;07.06.2013
525;10076978,55;13426;08.06.2013
526;840190,6;1148;09.06.2013
527;15155606,87;19945;10.06.2013
528;13409554,46;16702;11.06.2013
529;1019120,28;1324;12.06.2013
530;14800809,36;19302;13.06.2013
531;14271730,11;19491;14.06.2013
532;12849608,06;19790;15.06.2013
533;1202569,98;1891;16.06.2013
534;25177944,84;47574;17.06.2013
535;33379938,5;68716;18.06.2013
536;36283497,69;76770;19.06.2013
537;38477452,71;80061;20.06.2013
538;38928592,78;78776;21.06.2013
539;27423847,09;56227;22.06.2013
540;2000644,51;3854;23.06.2013
541;40908386,88;86061;24.06.2013
542;40962921,51;81832;25.06.2013
543;39865724,59;76063;26.06.2013
544;38252444,42;72476;27.06.2013
545;39999870,21;74836;28.06.2013
546;31051999,65;56483;29.06.2013
547;3317979,15;5221;30.06.2013
548;28700650,87;45071;01.07.2013
549;31063957,66;44556;02.07.2013
